Tracker ID,Unit,Plant,Wiki page,Sponsor,Capacity (MW),Status,Region,Country,Subnational unit (province/state),Latitude,Longitude,Parent
G111777,Amasra Bartın power station Unit 2,Amasra Bartın power station,http://bit.ly/1rhwp56,Bati Karadeniz Elektrik Üretim A.Ş.,600,Shelved,non-EU Europe,Turkey,Bartın,41.72704,32.34971,Hattat Holding
G111520,Zafer power station,Zafer power station,http://bit.ly/1FUKeLo,Alpler Enerji Liman Hizmetleri Madencilik Denizcilik A.Ş,1320,Shelved,non-EU Europe,Turkey,Bartın,41.604444,32.511111,Alpler Enerji Liman Hizmetleri Madencilik Denizcilik A.Ş
G100886,Bingöl power station,Bingöl power station,http://bit.ly/WZbPsq,Aksa Enerji Üretim A.Ş.,150,Cancelled,non-EU Europe,Turkey,Bingöl,39.31575,40.889156,Kazancı Holding
G101003,Bolu Göynük power station Unit 1,Bolu Göynük power station,http://bit.ly/1heISCw,Aksa Enerji Üretim A.Ş.,135,Operating,non-EU Europe,Turkey,Bolu,40.2514,30.8129,Kazancı Holding
G101004,Bolu Göynük power station Unit 2,Bolu Göynük power station,http://bit.ly/1heISCw,Aksa Enerji Üretim A.Ş.,135,Operating,non-EU Europe,Turkey,Bolu,40.2514,30.8129,Kazancı Holding
G101120,Bursa power station,Bursa power station,http://bit.ly/1pkS4rp,Çelikler Elektrik Üretim,270,Cancelled,non-EU Europe,Turkey,Bursa,39.90331,29.17746,Çelikler Holding
G102442,DOSAB cogeneration plant,DOSAB cogeneration plant,http://bit.ly/1wr1xkr,DOSAB,50,Pre-Permit,non-EU Europe,Turkey,Bursa,40.243172,28.96442,DOSAB
G107675,Orhaneli power station Unit 1,Orhaneli power station,http://bit.ly/2mHjSdx,Çelikler Orhaneli Tunçbilek Elektrik Üretim,210,Operating,non-EU Europe,Turkey,Bursa,39.9502243,28.8702144,Çelikler Holding
G100076,Ağan power station Unit 1,Ağan power station,http://bit.ly/1qMM2jl,GYD,790,Pre-Permit,non-EU Europe,Turkey,Çanakkale,40.44982294,27.30435562,Doğanlar Holding
G114021,Ağan power station Unit 2,Ağan power station,http://bit.ly/1qMM2jl,GYD,790,Pre-Permit,non-EU Europe,Turkey,Çanakkale,40.44982294,27.30435562,Doğanlar Holding
G100413,Babadere power station,Babadere power station,http://bit.ly/1it3G3Y,Nurol Enerji Üretim,1600,Cancelled,non-EU Europe,Turkey,Çanakkale,39.609,26.189,Nurol Enerji Üretim
G100862,Biga power station,Biga power station,http://bit.ly/1wr1Zzf,Biga Elektrik,1540,Shelved,non-EU Europe,Turkey,Çanakkale,40.47233,27.28625,Biga Elektrik
G101181,Çan-1 power station Unit 1,Çan-1 power station,http://bit.ly/2rhXyMr,EÜAŞ,160,Operating,non-EU Europe,Turkey,Çanakkale,40.0232395,26.9768366,EÜAŞ
G101182,Çan-1 power station Unit 2,Çan-1 power station,http://bit.ly/2rhXyMr,EÜAŞ,160,Operating,non-EU Europe,Turkey,Çanakkale,40.0232395,26.9768366,EÜAŞ
G101183,Çan-2 power station,Çan-2 power station,http://bit.ly/1Pf8Ou6,Çan Kömür ve İnşaat,330,Operating,non-EU Europe,Turkey,Çanakkale,40.0343524,26.9505736,Odaş Enerji
G101259,Cenal power station Unit 1,Cenal power station,http://bit.ly/1plKb4R,Cenal Elektrik,660,Operating,non-EU Europe,Turkey,Çanakkale,40.4167,27.31829,"Alarko Holding A.Ş. (50%), Cengiz Holding A.Ş. (50%)"
G101260,Cenal power station Unit 2,Cenal power station,http://bit.ly/1plKb4R,Cenal Elektrik,660,Operating,non-EU Europe,Turkey,Çanakkale,40.4167,27.31829,"Alarko Holding A.Ş. (50%), Cengiz Holding A.Ş. (50%)"
